textid	register	transl-id	status	study	studyear	experience	age	nativelang	gender
cbsnews.248471	news	4	stud	MA	1	6	22	RU	f
cbsnews.248471	news	wmt	prof	NA	NA	NA	NA	NA	NA
cbsnews.248484	news	4	stud	MA	1	6	22	RU	f
cbsnews.248484	news	wmt	prof	NA	NA	NA	NA	NA	NA
cbsnews.302129	news	4	stud	MA	1	6	22	RU	f
cbsnews.302129	news	wmt	prof	NA	NA	NA	NA	NA	NA
chicago_defender.80	news	4	stud	MA	1	6	22	RU	f
chicago_defender.80	news	wmt	prof	NA	NA	NA	NA	NA	NA
cnbc.com.33999	news	4	stud	MA	1	6	22	RU	f
cnbc.com.33999	news	wmt	prof	NA	NA	NA	NA	NA	NA
cnbc.com.6769	news	4	stud	MA	1	6	22	RU	f
cnbc.com.6769	news	wmt	prof	NA	NA	NA	NA	NA	NA
cnbc.com.6784	news	10	stud	BA	4	2	21	RU	f
cnbc.com.6784	news	wmt	prof	NA	NA	NA	NA	NA	NA
cnn.304400	news	20	stud	BA	3	1	21	RU	f
cnn.304400	news	wmt	prof	NA	NA	NA	NA	NA	NA
cnn.304404	news	20	stud	BA	3	1	21	RU	f
cnn.304404	news	wmt	prof	NA	NA	NA	NA	NA	NA
cnn.304447	news	20	stud	BA	3	1	21	RU	f
cnn.304447	news	wmt	prof	NA	NA	NA	NA	NA	NA
cnn.304478	news	20	stud	BA	3	1	21	RU	f
cnn.304478	news	wmt	prof	NA	NA	NA	NA	NA	NA
cnn.304489	news	20	stud	BA	3	1	21	RU	f
cnn.304489	news	wmt	prof	NA	NA	NA	NA	NA	NA
cnn.385761	news	20	stud	BA	3	1	21	RU	f
cnn.385761	news	wmt	prof	NA	NA	NA	NA	NA	NA
cnn.385803	news	10	stud	BA	4	2	21	RU	f
cnn.385803	news	wmt	prof	NA	NA	NA	NA	NA	NA
dailymail.co.uk.298602	news	10	stud	BA	4	2	21	RU	f
dailymail.co.uk.298602	news	wmt	prof	NA	NA	NA	NA	NA	NA
dailymail.co.uk.298630	news	10	stud	BA	4	2	21	RU	f
dailymail.co.uk.298630	news	wmt	prof	NA	NA	NA	NA	NA	NA
dailymail.co.uk.298644	news	10	stud	BA	4	2	21	RU	f
dailymail.co.uk.298644	news	wmt	prof	NA	NA	NA	NA	NA	NA
en.ndtv.com.13004	news	10	stud	BA	4	2	21	RU	f
en.ndtv.com.13004	news	wmt	prof	NA	NA	NA	NA	NA	NA
euronews-en.153797	news	4	stud	MA	1	6	22	RU	f
euronews-en.153797	news	wmt	prof	NA	NA	NA	NA	NA	NA
euronews-en.153799	news	10	stud	BA	4	2	21	RU	f
euronews-en.153799	news	wmt	prof	NA	NA	NA	NA	NA	NA
euronews-en.153800	news	5	stud	MA	1	3	22	RU	f
euronews-en.153800	news	wmt	prof	NA	NA	NA	NA	NA	NA
euronews-en.153835	news	2	stud	BA	4	4	21	RU	f
euronews-en.153835	news	wmt	prof	NA	NA	NA	NA	NA	NA
foxnews.100074	news	15	stud	BA	4	3	21	RU	f
foxnews.100074	news	wmt	prof	NA	NA	NA	NA	NA	NA
gateway-zh.135	news	15	stud	BA	4	3	21	RU	f
gateway-zh.135	news	wmt	prof	NA	NA	NA	NA	NA	NA
independent.226349	news	15	stud	BA	4	3	21	RU	f
independent.226349	news	wmt	prof	NA	NA	NA	NA	NA	NA
kcal.279	news	5	stud	MA	1	3	22	RU	f
kcal.279	news	wmt	prof	NA	NA	NA	NA	NA	NA
nytimes.184804	news	5	stud	MA	1	3	22	RU	f
nytimes.184804	news	wmt	prof	NA	NA	NA	NA	NA	NA
nytimes.184862	news	5	stud	MA	1	3	22	RU	f
nytimes.184862	news	wmt	prof	NA	NA	NA	NA	NA	NA
reuters.218882	news	10	stud	BA	4	2	21	RU	f
reuters.218882	news	wmt	prof	NA	NA	NA	NA	NA	NA
reuters.218909	news	5	stud	MA	1	3	22	RU	f
reuters.218909	news	wmt	prof	NA	NA	NA	NA	NA	NA
reuters.218911	news	15	stud	BA	4	3	21	RU	f
reuters.218911	news	wmt	prof	NA	NA	NA	NA	NA	NA
reuters.218921	news	9	stud	MA	2	2	22	RU	f
reuters.218921	news	wmt	prof	NA	NA	NA	NA	NA	NA
reuters.218933	news	9	stud	MA	2	2	22	RU	f
reuters.218933	news	wmt	prof	NA	NA	NA	NA	NA	NA
reuters.276702	news	9	stud	MA	2	2	22	RU	f
reuters.276702	news	wmt	prof	NA	NA	NA	NA	NA	NA
rt.com.91337	news	9	stud	MA	2	2	22	RU	f
rt.com.91337	news	wmt	prof	NA	NA	NA	NA	NA	NA
scotsman.133753	news	9	stud	MA	2	2	22	RU	f
scotsman.133753	news	wmt	prof	NA	NA	NA	NA	NA	NA
scotsman.133765	news	11	stud	BA	3	2	20	RU	f
scotsman.133765	news	wmt	prof	NA	NA	NA	NA	NA	NA
scotsman.133783	news	11	stud	BA	3	2	20	RU	f
scotsman.133783	news	wmt	prof	NA	NA	NA	NA	NA	NA
scotsman.133801	news	11	stud	BA	3	2	20	RU	f
scotsman.133801	news	wmt	prof	NA	NA	NA	NA	NA	NA
scotsman.133804	news	11	stud	BA	3	2	20	RU	f
scotsman.133804	news	wmt	prof	NA	NA	NA	NA	NA	NA
seattle_times.7019	news	11	stud	BA	3	2	20	RU	f
seattle_times.7019	news	wmt	prof	NA	NA	NA	NA	NA	NA
seattle_times.7452	news	9	stud	MA	2	2	22	RU	f
seattle_times.7452	news	wmt	prof	NA	NA	NA	NA	NA	NA
sky.com.20669	news	11	stud	BA	3	2	20	RU	f
sky.com.20669	news	wmt	prof	NA	NA	NA	NA	NA	NA
telegraph.405401	news	11	stud	BA	3	2	20	RU	f
telegraph.405401	news	wmt	prof	NA	NA	NA	NA	NA	NA
telegraph.405408	news	19	stud	BA	3	1	21	RU	f
telegraph.405408	news	wmt	prof	NA	NA	NA	NA	NA	NA
telegraph.405413	news	19	stud	BA	3	1	21	RU	f
telegraph.405413	news	wmt	prof	NA	NA	NA	NA	NA	NA
telegraph.405422	news	19	stud	BA	3	1	21	RU	f
telegraph.405422	news	wmt	prof	NA	NA	NA	NA	NA	NA
telegraph.405430	news	19	stud	BA	3	1	21	RU	f
telegraph.405430	news	wmt	prof	NA	NA	NA	NA	NA	NA
upi.176266	news	19	stud	BA	3	1	21	RU	f
upi.176266	news	wmt	prof	NA	NA	NA	NA	NA	NA
upi.176275	news	19	stud	BA	3	1	21	RU	f
upi.176275	news	wmt	prof	NA	NA	NA	NA	NA	NA
review_beauty_12_4	review	3	prof	NA	NA	10	33	RU	f
review_beauty_12_4	review	4	stud	MA	1	6	22	RU	f
review_beauty_14_5	review	3	prof	NA	NA	10	33	RU	f
review_beauty_14_5	review	4	stud	MA	1	6	22	RU	f
review_beauty_17_5	review	3	prof	NA	NA	10	33	RU	f
review_beauty_17_5	review	4	stud	MA	1	6	22	RU	f
review_beauty_18_5	review	3	prof	NA	NA	10	33	RU	f
review_beauty_18_5	review	4	stud	MA	1	6	22	RU	f
review_beauty_21_5	review	3	prof	NA	NA	10	33	RU	f
review_beauty_21_5	review	4	stud	MA	1	6	22	RU	f
review_beauty_25_5	review	3	prof	NA	NA	10	33	RU	f
review_beauty_25_5	review	4	stud	MA	1	6	22	RU	f
review_beauty_53_1	review	3	prof	NA	NA	10	33	RU	f
review_beauty_53_1	review	4	stud	MA	1	6	22	RU	f
review_beauty_58_1	review	3	prof	NA	NA	10	33	RU	f
review_beauty_58_1	review	4	stud	MA	1	6	22	RU	f
review_beauty_6_5	review	3	prof	NA	NA	10	33	RU	f
review_beauty_6_5	review	4	stud	MA	1	6	22	RU	f
review_beauty_62_1	review	3	prof	NA	NA	10	33	RU	f
review_beauty_62_1	review	4	stud	MA	1	6	22	RU	f
review_beauty_82_1	review	3	prof	NA	NA	10	33	RU	f
review_beauty_82_1	review	4	stud	MA	1	6	22	RU	f
review_beauty_87_1	review	3	prof	NA	NA	10	33	RU	f
review_beauty_87_1	review	4	stud	MA	1	6	22	RU	f
review_beauty_88_1	review	3	prof	NA	NA	10	33	RU	f
review_beauty_88_1	review	4	stud	MA	1	6	22	RU	f
review_beauty_93_1	review	3	prof	NA	NA	10	33	RU	f
review_beauty_93_1	review	4	stud	MA	1	6	22	RU	f
review_books_1_4	review	3	prof	NA	NA	10	33	RU	f
review_books_1_4	review	4	stud	MA	1	6	22	RU	f
review_books_11_5	review	3	prof	NA	NA	10	33	RU	f
review_books_11_5	review	4	stud	MA	1	6	22	RU	f
review_books_14_4	review	3	prof	NA	NA	10	33	RU	f
review_books_14_4	review	4	stud	MA	1	6	22	RU	f
review_books_16_1	review	3	prof	NA	NA	10	33	RU	f
review_books_16_1	review	4	stud	MA	1	6	22	RU	f
review_books_172_1	review	3	prof	NA	NA	10	33	RU	f
review_books_172_1	review	4	stud	MA	1	6	22	RU	f
review_books_18_4	review	3	prof	NA	NA	10	33	RU	f
review_books_18_4	review	4	stud	MA	1	6	22	RU	f
review_books_19_4	review	3	prof	NA	NA	10	33	RU	f
review_books_19_4	review	4	stud	MA	1	6	22	RU	f
review_books_233_1	review	3	prof	NA	NA	10	33	RU	f
review_books_233_1	review	4	stud	MA	1	6	22	RU	f
review_books_268_2	review	10	stud	BA	4	2	21	RU	f
review_books_268_2	review	16	prof	NA	NA	22	44	RU	f
review_books_302_2	review	16	prof	NA	NA	22	44	RU	f
review_books_302_2	review	10	stud	BA	4	2	21	RU	f
review_books_311_1	review	10	stud	BA	4	2	21	RU	f
review_books_311_1	review	16	prof	NA	NA	22	44	RU	f
review_books_5_5	review	10	stud	BA	4	2	21	RU	f
review_books_5_5	review	16	prof	NA	NA	22	44	RU	f
review_books_77_2	review	10	stud	BA	4	2	21	RU	f
review_books_77_2	review	16	prof	NA	NA	22	44	RU	f
review_books_8_4	review	10	stud	BA	4	2	21	RU	f
review_books_8_4	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_107_2	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_107_2	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_110_1	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_110_1	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_113_2	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_113_2	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_12_5	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_12_5	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_152_2	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_152_2	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_156_2	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_156_2	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_159_2	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_159_2	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_16_5	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_16_5	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_164_1	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_164_1	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_17_5	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_17_5	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_23_5	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_23_5	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_25_5	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_25_5	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_7_5	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_7_5	review	16	prof	NA	NA	22	44	RU	f
review_cd+vinyl_8_5	review	10	stud	BA	4	2	21	RU	f
review_cd+vinyl_8_5	review	16	prof	NA	NA	22	44	RU	f
review_cell-phones+accessories_102_1	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_102_1	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_105_2	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_105_2	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_117_1	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_117_1	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_12_5	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_12_5	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_127_1	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_127_1	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_13_5	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_13_5	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_132_1	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_132_1	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_25_4	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_25_4	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_28_4	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_28_4	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_4_4	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_4_4	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_40_4	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_40_4	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_47_1	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_47_1	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_57_5	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_57_5	review	15	stud	BA	4	3	21	RU	f
review_cell-phones+accessories_64_2	review	13	prof	NA	NA	15	34	RU	f
review_cell-phones+accessories_64_2	review	15	stud	BA	4	3	21	RU	f
review_grocery+gourmet-food_11_5	review	13	prof	NA	NA	15	34	RU	f
review_grocery+gourmet-food_11_5	review	15	stud	BA	4	3	21	RU	f
review_grocery+gourmet-food_13_5	review	13	prof	NA	NA	15	34	RU	f
review_grocery+gourmet-food_13_5	review	15	stud	BA	4	3	21	RU	f
review_grocery+gourmet-food_147_2	review	13	prof	NA	NA	15	34	RU	f
review_grocery+gourmet-food_147_2	review	15	stud	BA	4	3	21	RU	f
review_grocery+gourmet-food_16_4	review	13	prof	NA	NA	15	34	RU	f
review_grocery+gourmet-food_16_4	review	15	stud	BA	4	3	21	RU	f
review_grocery+gourmet-food_167_2	review	13	prof	NA	NA	15	34	RU	f
review_grocery+gourmet-food_167_2	review	15	stud	BA	4	3	21	RU	f
review_grocery+gourmet-food_175_2	review	13	prof	NA	NA	15	34	RU	f
review_grocery+gourmet-food_175_2	review	15	stud	BA	4	3	21	RU	f
review_grocery+gourmet-food_18_5	review	13	prof	NA	NA	15	34	RU	f
review_grocery+gourmet-food_18_5	review	15	stud	BA	4	3	21	RU	f
review_grocery+gourmet-food_20_4	review	18	prof	NA	NA	9	30	RU	f
review_grocery+gourmet-food_20_4	review	2	stud	BA	4	4	21	RU	f
review_grocery+gourmet-food_340_1	review	18	prof	NA	NA	9	30	RU	f
review_grocery+gourmet-food_340_1	review	2	stud	BA	4	4	21	RU	f
review_grocery+gourmet-food_355_1	review	18	prof	NA	NA	9	30	RU	f
review_grocery+gourmet-food_355_1	review	2	stud	BA	4	4	21	RU	f
review_grocery+gourmet-food_356_1	review	18	prof	NA	NA	9	30	RU	f
review_grocery+gourmet-food_356_1	review	2	stud	BA	4	4	21	RU	f
review_grocery+gourmet-food_399_2	review	18	prof	NA	NA	9	30	RU	f
review_grocery+gourmet-food_399_2	review	2	stud	BA	4	4	21	RU	f
review_grocery+gourmet-food_8_5	review	2	stud	BA	4	4	21	RU	f
review_grocery+gourmet-food_8_5 	review	18	prof	NA	NA	9	30	RU	f
review_grocery+gourmet-food_9_5	review	18	prof	NA	NA	9	30	RU	f
review_grocery+gourmet-food_9_5	review	2	stud	BA	4	4	21	RU	f
review_health+care_110_1	review	2	stud	BA	4	4	21	RU	f
review_health+care_110_1	review	18	prof	NA	NA	9	30	RU	f
review_health+care_119_2	review	2	stud	BA	4	4	21	RU	f
review_health+care_119_2	review	18	prof	NA	NA	9	30	RU	f
review_health+care_127_1	review	2	stud	BA	4	4	21	RU	f
review_health+care_127_1	review	18	prof	NA	NA	9	30	RU	f
review_health+care_13_5	review	2	stud	BA	4	4	21	RU	f
review_health+care_13_5	review	18	prof	NA	NA	9	30	RU	f
review_health+care_14_5	review	2	stud	BA	4	4	21	RU	f
review_health+care_14_5	review	18	prof	NA	NA	9	30	RU	f
review_health+care_16_4	review	2	stud	BA	4	4	21	RU	f
review_health+care_16_4	review	18	prof	NA	NA	9	30	RU	f
review_health+care_185_2	review	2	stud	BA	4	4	21	RU	f
review_health+care_185_2	review	18	prof	NA	NA	9	30	RU	f
review_health+care_19_5	review	2	stud	BA	4	4	21	RU	f
review_health+care_19_5	review	18	prof	NA	NA	9	30	RU	f
review_health+care_199_2	review	2	stud	BA	4	4	21	RU	f
review_health+care_199_2	review	18	prof	NA	NA	9	30	RU	f
review_health+care_4_4	review	2	stud	BA	4	4	21	RU	f
review_health+care_4_4	review	18	prof	NA	NA	9	30	RU	f
review_health+care_53_1	review	2	stud	BA	4	4	21	RU	f
review_health+care_53_1	review	18	prof	NA	NA	9	30	RU	f
review_health+care_6_5	review	5	stud	MA	1	3	22	RU	f
review_health+care_6_5	review	7	prof	NA	NA	5	24	RU	f
review_health+care_8_5	review	5	stud	MA	1	3	22	RU	f
review_health+care_8_5	review	7	prof	NA	NA	5	24	RU	f
review_health+care_84_1	review	2	stud	BA	4	4	21	RU	f
review_health+care_84_1	review	18	prof	NA	NA	9	30	RU	f
review_home+kitchen_10_5	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_10_5	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_112_1	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_112_1	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_12_5	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_12_5	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_145_1	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_145_1	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_185_1	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_185_1	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_19_5	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_19_5	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_20_5	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_20_5	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_21_5	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_21_5	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_214_2	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_214_2	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_24_5	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_24_5	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_29_2	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_29_2	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_41_2	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_41_2	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_6_5	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_6_5	review	7	prof	NA	NA	5	24	RU	f
review_home+kitchen_96_2	review	5	stud	MA	1	3	22	RU	f
review_home+kitchen_96_2	review	7	prof	NA	NA	5	24	RU	f
review_movies+TV_1_4	review	5	stud	MA	1	3	22	RU	f
review_movies+TV_1_4	review	7	prof	NA	NA	5	24	RU	f
review_movies+TV_11_5	review	5	stud	MA	1	3	22	RU	f
review_movies+TV_11_5	review	7	prof	NA	NA	5	24	RU	f
review_movies+TV_187_1	review	5	stud	MA	1	3	22	RU	f
review_movies+TV_187_1	review	7	prof	NA	NA	5	24	RU	f
review_movies+TV_20_5	review	5	stud	MA	1	3	22	RU	f
review_movies+TV_20_5	review	7	prof	NA	NA	5	24	RU	f
review_movies+TV_22_5	review	11	stud	BA	3	2	20	RU	f
review_movies+TV_22_5	review	14	prof	NA	NA	35	52	RU	f
review_movies+TV_24_5	review	11	stud	BA	3	2	20	RU	f
review_movies+TV_24_5	review	14	prof	NA	NA	35	52	RU	f
review_movies+TV_249_1	review	11	stud	BA	3	2	20	RU	f
review_movies+TV_249_1	review	14	prof	NA	NA	35	52	RU	f
review_movies+TV_25_5	review	11	stud	BA	3	2	20	RU	f
review_movies+TV_25_5	review	14	prof	NA	NA	35	52	RU	f
review_movies+TV_252_1	review	11	stud	BA	3	2	20	RU	f
review_movies+TV_252_1	review	14	prof	NA	NA	35	52	RU	f
review_movies+TV_26_5	review	11	stud	BA	3	2	20	RU	f
review_movies+TV_26_5	review	14	prof	NA	NA	35	52	RU	f
review_movies+TV_274_2	review	11	stud	BA	3	2	20	RU	f
review_movies+TV_274_2	review	14	prof	NA	NA	35	52	RU	f
review_movies+TV_304_1	review	11	stud	BA	3	2	20	RU	f
review_movies+TV_304_1	review	14	prof	NA	NA	35	52	RU	f
review_movies+TV_439_1	review	11	stud	BA	3	2	20	RU	f
review_movies+TV_439_1	review	14	prof	NA	NA	35	52	RU	f
review_movies+TV_500_1	review	11	stud	BA	3	2	20	RU	f
review_movies+TV_500_1	review	14	prof	NA	NA	35	52	RU	f
review_musical-instruments_1_5	review	11	stud	BA	3	2	20	RU	f
review_musical-instruments_1_5	review	14	prof	NA	NA	35	52	RU	f
review_musical-instruments_12_4	review	11	stud	BA	3	2	20	RU	f
review_musical-instruments_12_4	review	14	prof	NA	NA	35	52	RU	f
review_musical-instruments_17_4	review	11	stud	BA	3	2	20	RU	f
review_musical-instruments_17_4	review	14	prof	NA	NA	35	52	RU	f
review_musical-instruments_18_5	review	11	stud	BA	3	2	20	RU	f
review_musical-instruments_18_5	review	14	prof	NA	NA	35	52	RU	f
review_musical-instruments_24_5	review	11	stud	BA	3	2	20	RU	f
review_musical-instruments_24_5	review	14	prof	NA	NA	35	52	RU	f
review_musical-instruments_25_5	review	11	stud	BA	3	2	20	RU	f
review_musical-instruments_25_5	review	14	prof	NA	NA	35	52	RU	f
review_musical-instruments_287_2	review	11	stud	BA	3	2	20	RU	f
review_musical-instruments_287_2	review	14	prof	NA	NA	35	52	RU	f
review_musical-instruments_3_5	review	11	stud	BA	3	2	20	RU	f
review_musical-instruments_3_5	review	14	prof	NA	NA	35	52	RU	f
review_musical-instruments_409_1	review	11	stud	BA	3	2	20	RU	f
review_musical-instruments_409_1	review	14	prof	NA	NA	35	52	RU	f
review_musical-instruments_414_1	review	9	stud	MA	2	2	22	RU	f
review_musical-instruments_414_1	review	17	prof	NA	NA	37	58	RU	f
review_musical-instruments_483_2	review	9	stud	MA	2	2	22	RU	f
review_musical-instruments_483_2	review	17	prof	NA	NA	37	58	RU	f
review_musical-instruments_51_2	review	9	stud	MA	2	2	22	RU	f
review_musical-instruments_51_2	review	17	prof	NA	NA	37	58	RU	f
review_musical-instruments_53_1	review	9	stud	MA	2	2	22	RU	f
review_musical-instruments_53_1	review	17	prof	NA	NA	37	58	RU	f
review_musical-instruments_547_2	review	9	stud	MA	2	2	22	RU	f
review_musical-instruments_547_2	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_1_4	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_1_4	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_10_4	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_10_4	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_11_4	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_11_4	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_14_5	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_14_5	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_147_2	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_147_2	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_15_5	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_15_5	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_161_2	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_161_2	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_181_2	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_181_2	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_19_5	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_19_5	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_247_1	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_247_1	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_334_1	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_334_1	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_387_1	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_387_1	review	17	prof	NA	NA	37	58	RU	f
review_patio+lawn+garden_392_1	review	9	stud	MA	2	2	22	RU	f
review_patio+lawn+garden_392_1	review	17	prof	NA	NA	37	58	RU	f
